category,name,ingredients_inside,ingredients_on_top,description
Maki Rolls,California Roll,Kani (Crab);Cucumber;Avocado,,"Kani (Crab), Cucumber, Avocado inside"
Maki Rolls,Philly Roll,Salmon;Cucumber;Cream Cheese,,"Salmon, Cucumber, Cream Cheese inside"
Maki Rolls,Shrimp Tempura Roll,Shrimp Tempura;Cucumber;Avocado,Eel Sauce,"Shrimp Tempura, Cucumber, Avocado inside, topped with Eel Sauce"
Maki Rolls,Spicy Cali Roll,Kani (Crab);Cucumber;Avocado,Spicy Mayo,"Kani (Crab), Cucumber, Avocado inside, topped with Spicy Mayo"
Maki Rolls,Spicy Tuna Roll,Maguro (Tuna);Cucumber;Spicy Mayo,,"Maguro (Tuna), Cucumber, Spicy Mayo inside"
Maki Rolls,Sweet Potato Roll,Sweet Potato Tempura;Cucumber;Avocado,Eel Sauce,"Sweet Potato Tempura, Cucumber, Avocado inside, topped with Eel Sauce"
Speciality Rolls,Flying Tiger,Salmon;Asparagus,Avocado;Eel Sauce;Tobiko,"Salmon, Asparagus inside, topped with Avocado, Eel Sauce, Tobiko"
Speciality Rolls,Windy City Roll,Shrimp Tempura;Cucumber;Avocado,Salmon;Tuna;Spicy Mayo;Eel Sauce;Green Onion,"Shrimp Tempura, Cucumber, Avocado inside, topped with Salmon, Tuna, Spicy Mayo, Eel Sauce, Green Onion"
Speciality Rolls,Alaskan Volcano,Salmon;Avocado;Cucumber,Crab Salad;Tempura Flakes;Tobiko,"Salmon, Avocado, Cucumber inside, topped with Crab Salad, Tempura Flakes, Tobiko"
Speciality Rolls,Spicy Scallop Roll,Kani (Crab);Avocado,Spicy Scallops;Mozzerella Cheese,"Kani (Crab), Avocado inside, topped with Spicy Scallops, Mozzerella Cheese"
Speciality Rolls,Pacific Roll,Akami (Tuna);OToro (Tuna);Avocado;Asparagus;Chives,Akami (Tuna),"Akami (Tuna), OToro (Tuna), Avocado, Asparagus, Chives inside, topped with Akami (Tuna)"
Speciality Rolls,Inside Out Rainbow Roll,Akami (Tuna);Salmon;Kampanchi,Avocado;Tobiko,"Akami (Tuna), Salmon, Kampanchi inside, topped with Avocado, Tobiko"
Speciality Rolls,Wells St. Roll,Shrimp Tempura;Avocado,Akami (Tuna);Spicy Mayo;Sprouts,"Shrimp Tempura, Avocado inside, topped with Akami (Tuna), Spicy Mayo, Sprouts"
Appitizer,Yellow Tail Jalepano,Yellow Tail;Yuzu Juice,Minced Garlic;Jalapeno;Cilantro,"Yellow Tail, Yuzu Juice inside, topped with Minced Garlic, Jalapeno, Cilantro"
Appitizer,Tuna Rice Bites,Tuna;Lime;Green Onion;Tobiko,Avocado;Green Onion;Sweet Soy Sauce,"Tuna, Lime, Green Onion, Tobiko inside, topped with Avocado, Green Onion, Sweet Soy Sauce"
Appitizer,Salmon Rice Bites,Salmon;Lime;Green Onion;Tobiko,Avocado;Spicy Mayo;Sweet Soy Sauce;Tobiko,"Salmon, Lime, Green Onion, Tobiko inside, topped with Avocado, Spicy Mayo, Sweet Soy Sauce, Tobiko"
Nigiri,Sake,Salmon,Nikiri Sauce;Lemon Zest,"Seared Salmon w/ Nikiri Sauce, Lemon Zest"
Nigiri,Seared Sake,Seared Salmon,Nikiri Sauce;Lemon Zest,"Seared Salmon w/ Nikiri Sauce, Lemon Zest"
Nigiri,Zuke Sake,Marinade Salmon,Green Onion,Marinade Salmon topped with Green Onion
Nigiri,Akami,Tuna,Nikiri Sauce,Tuna topped with Nikiri Sauce
Nigiri,Otoro,Fatty Tuna,Nikiri Sauce,"Fatty Tuna inside, topped with Nikiri Sauce"
Nigiri,Seared Otoro,Fatty Tuna,Nikiri Sauce,"Fatty Tuna inside, topped with Nikiri Sauce"
Nigiri,Hamachi,Yellow Tail,Nikiri Sauce,"Yellow Tail inside, topped with Nikiri Sauce"
Nigiri,Kampachi,White Fish,Citrus Yuzu Sauce,"White Fish inside, topped with Citrus Yuzu Sauce"
Nigiri,Scallop,Scallop,Black Charcoal Salt,"Scallop inside, topped with Black Charcoal Salt"
